QR BAZAR DEMO LOGIN CREDENTIALS
Generated: 2026-04-21 16:25:16
Default password for generated accounts: Demo@12345
--------------------------------------------------------
super_admin | admin.demo | Demo@12345
organizer | org.demo1 | Demo@12345
organizer | org.demo2 | Demo@12345
organizer | org.demo3 | Demo@12345
seller | seller.demo1 | Demo@12345
seller | seller.demo2 | Demo@12345
seller | seller.demo3 | Demo@12345
seller | seller.demo4 | Demo@12345
seller | seller.demo5 | Demo@12345
seller | seller.demo6 | Demo@12345
seller | seller.demo7 | Demo@12345
seller | seller.demo8 | Demo@12345
seller | seller.demo9 | Demo@12345
seller | seller.demo10 | Demo@12345
seller | seller.demo11 | Demo@12345
seller | seller.demo12 | Demo@12345
seller | seller.demo13 | Demo@12345
seller | seller.demo14 | Demo@12345
seller | seller.demo15 | Demo@12345
seller | seller.demo16 | Demo@12345
seller | seller.demo17 | Demo@12345
seller | seller.demo18 | Demo@12345
seller | seller.demo19 | Demo@12345
seller | seller.demo20 | Demo@12345
seller | seller.demo21 | Demo@12345
seller | seller.demo22 | Demo@12345
seller | seller.demo23 | Demo@12345
seller | seller.demo24 | Demo@12345
buyer | buyer.demo1 | Demo@12345
buyer | buyer.demo2 | Demo@12345
buyer | buyer.demo3 | Demo@12345
buyer | buyer.demo4 | Demo@12345
buyer | buyer.demo5 | Demo@12345
buyer | buyer.demo6 | Demo@12345
buyer | buyer.demo7 | Demo@12345
buyer | buyer.demo8 | Demo@12345
buyer | buyer.demo9 | Demo@12345
buyer | buyer.demo10 | Demo@12345
buyer | buyer.demo11 | Demo@12345
buyer | buyer.demo12 | Demo@12345
buyer | buyer.demo13 | Demo@12345
buyer | buyer.demo14 | Demo@12345
buyer | buyer.demo15 | Demo@12345
buyer | buyer.demo16 | Demo@12345
buyer | buyer.demo17 | Demo@12345
buyer | buyer.demo18 | Demo@12345
buyer | buyer.demo19 | Demo@12345
buyer | buyer.demo20 | Demo@12345
buyer | buyer.demo21 | Demo@12345
buyer | buyer.demo22 | Demo@12345
buyer | buyer.demo23 | Demo@12345
buyer | buyer.demo24 | Demo@12345
buyer | buyer.demo25 | Demo@12345
buyer | buyer.demo26 | Demo@12345
gatekeeper | gate.demo1 | Demo@12345
gatekeeper | gate.demo2 | Demo@12345
gatekeeper | gate.demo3 | Demo@12345
gatekeeper | gate.demo4 | Demo@12345
gatekeeper | gate.demo5 | Demo@12345
gatekeeper | gate.demo6 | Demo@12345
